,Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Complications,Power Reserve,Price (USD)
80,Zenith,El Primero,Stainless Steel,Leather,Automatic,4.605170185988092,3.6375861597263857,2.4973291697865574,2.9444389791664403,Silver,Sapphire,Chronograph,3.912023005428146,7500.0
81,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,3.912023005428146,3.7376696182833684,2.5392369943330477,2.995732273553991,Black,Sapphire,Chronograph,3.871201010907891,5600.0
89,Tudor,Black Bay,Stainless Steel,Leather,Automatic,5.298317366548036,3.713572066704308,2.545531271604435,3.091042453358316,Black,Sapphire,Date,4.248495242049359,3500.0
90,Seiko,Prospex,Stainless Steel,Silicone,Automatic,5.298317366548036,3.744787086052232,2.5952547069568657,3.091042453358316,Blue,Hardlex,None,3.912023005428146,650.0
92,Hamilton,Khaki Field Auto,Stainless Steel,Leather,Automatic,4.605170185988092,3.6375861597263857,2.2874714551839976,2.995732273553991,Black,Sapphire,None,4.382026634673881,545.0
94,Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,3.912023005428146,3.7376696182833684,2.6602595372658615,2.995732273553991,Black,Hesalite,"Chronograph, Tachymeter",3.871201010907891,5500.0
95,Breitling,Superocean Heritage,Stainless Steel,Rubber,Automatic,5.298317366548036,3.7376696182833684,2.66374994220563,3.091042453358316,Black,Sapphire,Date,3.6375861597263857,4800.0
96,Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,3.912023005428146,3.6888794541139363,2.174751721484161,2.995732273553991,Silver,Sapphire,Date,4.248495242049359,6500.0
97,Cartier,Santos,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.6838669122903918,2.206074192613202,3.068052935133617,Silver,Sapphire,Date,3.7376696182833684,7500.0
98,Zenith,Elite,Stainless Steel,Leather,Automatic,3.912023005428146,3.7013019741124933,2.21375387928743,2.995732273553991,Silver,Sapphire,None,3.912023005428146,4500.0
99,Panerai,Luminor Base,Stainless Steel,Leather,Manual,4.605170185988092,3.784189633918261,2.3513752571634776,3.1780538303479458,Black,Sapphire,None,4.02535169073515,5800.0
100,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.341805806147327,2.995732273553991,Silver,Sapphire,Date,4.0943445622221,21000.0
101,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,4.0943445622221,3.713572066704308,2.3850863145057892,2.995732273553991,Black,Sapphire,Date,3.7376696182833684,3800.0
102,Tudor,Black Bay,Stainless Steel,Leather,Automatic,5.298317366548036,3.713572066704308,2.5416019934645457,3.091042453358316,Black,Sapphire,Date,4.248495242049359,3900.0
105,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.708682081410116,2.1162555148025524,2.995732273553991,Blue,Sapphire,"Date, Power Reserve, Moon Phase",3.8066624897703196,38000.0
106,Audemars Piguet,Royal Oak,Rose Gold,Rose Gold,Automatic,3.912023005428146,3.713572066704308,2.2823823856765264,2.995732273553991,Blue,Sapphire,Date,4.0943445622221,55000.0
107,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,5.0106352940962555,3.713572066704308,2.3978952727983707,3.091042453358316,Blue,Sapphire,"Date, Power Reserve",3.6888794541139363,21000.0
108,A. Lange & Sohne,Saxonia,White Gold,Leather,Manual,3.4011973816621555,3.6506582412937387,2.0541237336955462,2.8903717578961645,Silver,Sapphire,None,3.8066624897703196,23000.0
109,Breguet,Classique,Rose Gold,Leather,Manual,3.4011973816621555,3.6506582412937387,2.1102132003465894,2.995732273553991,Silver,Sapphire,Power Reserve,4.174387269895637,23000.0
110,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.713572066704308,2.509599262378372,3.091042453358316,Blue,Sapphire,None,4.0943445622221,8500.0
112,Hublot,Big Bang,Titanium,Rubber,Automatic,4.605170185988092,3.784189633918261,2.6741486494265287,3.1780538303479458,Blue,Sapphire,Chronograph,4.276666119016055,16000.0
114,Zenith,El Primero,Stainless Steel,Leather,Automatic,4.605170185988092,3.7376696182833684,2.545531271604435,2.995732273553991,Silver,Sapphire,Chronograph,3.912023005428146,6000.0
115,Piaget,Altiplano,White Gold,Leather,Manual,3.4011973816621555,3.6375861597263857,1.8082887711792655,2.995732273553991,Silver,Sapphire,None,3.7612001156935624,16500.0
116,Seiko,Prospex,Stainless Steel,Silicone,Automatic,5.298317366548036,3.7909846770510898,2.5416019934645457,2.995732273553991,Blue,Sapphire,Day/Date,3.713572066704308,1200.0
117,Panerai,Luminor Due,Stainless Steel,Leather,Automatic,3.4011973816621555,3.6375861597263857,2.4159137783010487,2.995732273553991,Black,Sapphire,None,4.276666119016055,6500.0
118,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.713572066704308,2.509599262378372,3.091042453358316,Blue,Sapphire,"Chronograph, Moon Phase",3.828641396489095,9800.0
120,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.2512917986064953,2.995732273553991,Black,Sapphire,Date,4.0943445622221,19800.0
121,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.708682081410116,2.1162555148025524,2.995732273553991,Blue,Sapphire,Date,3.8066624897703196,47000.0
122,Breguet,Classique,18K Rose Gold,Leather,Automatic,3.4011973816621555,3.6888794541139363,1.916922612182061,2.995732273553991,White,Sapphire,None,4.007333185232471,19000.0
123,Vacheron Constantin,Patrimony,18K White Gold,Leather,Manual,3.4011973816621555,3.6888794541139363,1.9154509415706047,2.995732273553991,Silver,Sapphire,None,4.174387269895637,18500.0
124,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,3.912023005428146,3.784189633918261,2.706048198431537,3.091042453358316,Black,Sapphire,Chronograph,3.7376696182833684,5800.0
126,Montblanc,1858,Stainless Steel,Leather,Manual,3.4011973816621555,3.784189633918261,2.509599262378372,3.091042453358316,Black,Sapphire,None,3.912023005428146,3500.0
127,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.6888794541139363,2.5257286443082556,2.995732273553991,Black,Sapphire,"GMT, Date",4.248495242049359,9950.0
128,Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.7376696182833684,2.617395832834079,2.995732273553991,Black,Hesalite,Chronograph,3.871201010907891,4950.0
129,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.708682081410116,2.1162555148025524,2.995732273553991,Blue,Sapphire,Date,3.8066624897703196,38000.0
130,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.2823823856765264,2.995732273553991,Blue,Sapphire,Date,4.0943445622221,22000.0
131,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.713572066704308,2.509599262378372,3.091042453358316,Silver,Sapphire,None,3.828641396489095,7500.0
132,Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,3.912023005428146,3.6635616461296463,2.0255131996542803,2.995732273553991,Silver,Sapphire,Date,4.248495242049359,8900.0
134,Breguet,Classique,Rose Gold,Leather,Manual,3.4011973816621555,3.6888794541139363,1.916922612182061,2.995732273553991,Silver,Sapphire,None,4.174387269895637,20500.0
136,Hublot,Big Bang,Ceramic,Rubber,Automatic,4.605170185988092,3.713572066704308,2.6741486494265287,2.995732273553991,Black,Sapphire,Chronograph,4.276666119016055,16000.0
137,Zenith,El Primero,Stainless Steel,Leather,Automatic,4.605170185988092,3.6375861597263857,2.545531271604435,2.995732273553991,White,Sapphire,Chronograph,3.912023005428146,5500.0
138,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.713572066704308,2.468099531471619,2.995732273553991,Black,Sapphire,Date,4.248495242049359,8200.0
139,Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,3.912023005428146,3.7376696182833684,2.580216829592325,2.995732273553991,Black,Hesalite,"Chronograph, Tachymeter",3.871201010907891,5500.0
142,Patek Philippe,Calatrava,Rose Gold,Leather,Manual,3.4011973816621555,3.58351893845611,2.0082140323914683,2.8903717578961645,White,Sapphire,None,3.784189633918261,18000.0
143,Hublot,Big Bang,Titanium,Rubber,Automatic,4.605170185988092,3.7376696182833684,2.6741486494265287,3.1780538303479458,Black,Sapphire,"Chronograph, Date",4.276666119016055,8900.0
145,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.341805806147327,2.995732273553991,Blue,Sapphire,Date,4.0943445622221,26000.0
146,Zenith,El Primero,Stainless Steel,Leather,Automatic,4.605170185988092,3.7376696182833684,2.545531271604435,3.091042453358316,Black,Sapphire,Chronograph,3.912023005428146,6500.0
147,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.7256934272366524,2.509599262378372,3.091042453358316,Silver,Sapphire,None,4.0943445622221,7800.0
148,Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,3.912023005428146,3.6375861597263857,2.0255131996542803,2.995732273553991,Silver,Sapphire,None,4.248495242049359,4500.0
149,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.7013019741124933,2.1162555148025524,3.091042453358316,Blue,Sapphire,Date,3.8066624897703196,29800.0
150,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.2823823856765264,2.995732273553991,Black,Sapphire,Date,4.0943445622221,23100.0
152,Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,5.0106352940962555,3.7256934272366524,2.3978952727983707,3.091042453358316,Blue,Sapphire,Date,3.6888794541139363,18900.0
154,Hublot,Big Bang,Ceramic,Rubber,Automatic,4.605170185988092,3.784189633918261,2.6741486494265287,3.258096538021482,Black,Sapphire,Chronograph,4.276666119016055,17900.0
155,Breguet,Classique,18k Rose Gold,Leather,Manual,3.4011973816621555,3.6635616461296463,2.157559320943788,2.995732273553991,Silver,Sapphire,None,3.6888794541139363,15200.0
156,Ulysse Nardin,Marine,Stainless Steel,Leather,Automatic,4.605170185988092,3.742420221041966,2.653241964607215,3.091042453358316,Blue,Sapphire,Date,4.0943445622221,8400.0
157,Zenith,Defy,Titanium,Rubber,Automatic,4.605170185988092,3.713572066704308,2.3749057545736716,3.091042453358316,Blue,Sapphire,Chronograph,3.912023005428146,9500.0
158,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.7376696182833684,2.3869262414277967,3.091042453358316,Silver,Sapphire,None,3.828641396489095,9200.0
159,Panerai,Luminor,Stainless Steel,Leather,Manual,4.605170185988092,3.784189633918261,2.5687881337687024,3.1780538303479458,Black,Sapphire,None,4.02535169073515,7500.0
160,Seiko,Prospex,Stainless Steel,Silicone,Automatic,5.298317366548036,3.7612001156935624,2.580216829592325,3.091042453358316,Blue,Hardlex,Date,3.912023005428146,1300.0
161,Tissot,Le Locle,Stainless Steel,Leather,Automatic,3.4011973816621555,3.6712245188752153,2.277267285009756,2.995732273553991,Silver,Sapphire,Date,3.6375861597263857,650.0
162,Longines,Master Collection,Stainless Steel,Leather,Automatic,3.4011973816621555,3.6888794541139363,2.327277705584417,2.995732273553991,Black,Sapphire,Date,4.1588830833596715,2500.0
163,Hamilton,Jazzmaster,Stainless Steel,Leather,Automatic,3.912023005428146,3.6888794541139363,2.411439497906128,2.995732273553991,Silver,Sapphire,Date,4.382026634673881,1150.0
164,Montblanc,Heritage,Stainless Steel,Leather,Automatic,3.912023005428146,3.6888794541139363,2.2874714551839976,2.995732273553991,Silver,Sapphire,Date,3.7376696182833684,2750.0
166,Frederique Constant,Classics,Stainless Steel,Leather,Automatic,3.912023005428146,3.6888794541139363,2.3513752571634776,2.995732273553991,Silver,Sapphire,Date,3.6375861597263857,1400.0
167,Zenith,Elite,Stainless Steel,Leather,Automatic,3.912023005428146,3.7013019741124933,2.0980179272527715,3.091042453358316,White,Sapphire,Date,3.912023005428146,5500.0
168,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.6375861597263857,2.3869262414277967,3.2188758248682006,Black,Sapphire,Date,3.828641396489095,8700.0
169,Ulysse Nardin,Marine Torpilleur,Stainless Steel,Leather,Automatic,3.912023005428146,3.7376696182833684,2.411439497906128,2.995732273553991,Blue,Sapphire,Date,4.0943445622221,7900.0
171,Rolex,Datejust,Stainless Steel,Jubilee,Automatic,4.605170185988092,3.58351893845611,2.5257286443082556,2.995732273553991,Black,Sapphire,Date,4.248495242049359,8000.0
172,Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.7376696182833684,2.6026896854443837,2.995732273553991,Black,Sapphire,Chronograph,4.0943445622221,6500.0
176,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.713572066704308,2.509599262378372,3.091042453358316,Blue,Sapphire,Date,4.0943445622221,8900.0
178,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.7013019741124933,2.1162555148025524,3.091042453358316,Blue,Sapphire,Date,3.8066624897703196,34000.0
179,Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,3.912023005428146,3.6635616461296463,2.0255131996542803,2.995732273553991,Silver,Sapphire,None,3.7612001156935624,6800.0
180,Bell & Ross,BR V2-92,Stainless Steel,Rubber,Automatic,4.605170185988092,3.713572066704308,2.272125885509337,3.091042453358316,Black,Sapphire,Date,3.6888794541139363,2500.0
181,Montblanc,1858,Bronze,Leather,Automatic,4.605170185988092,3.784189633918261,2.5494451709255714,3.091042453358316,Black,Sapphire,None,3.7376696182833684,5300.0
183,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.2823823856765264,2.995732273553991,Black,Sapphire,Date,4.0943445622221,22000.0
184,Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,5.0106352940962555,3.713572066704308,2.3978952727983707,3.044522437723423,Blue,Sapphire,Date,4.0943445622221,17500.0
185,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.713572066704308,2.5726122302071057,3.091042453358316,Silver,Sapphire,Date,4.0943445622221,8500.0
186,Hublot,Big Bang,Ceramic,Rubber,Automatic,4.605170185988092,3.7954891891721947,2.6741486494265287,3.091042453358316,Black,Sapphire,Chronograph,4.276666119016055,15000.0
187,Zenith,El Primero,Stainless Steel,Leather,Automatic,4.605170185988092,3.6375861597263857,2.517696472610991,2.9444389791664403,White,Sapphire,Chronograph,3.912023005428146,6000.0
188,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,3.912023005428146,3.7376696182833684,2.5392369943330477,2.995732273553991,Black,Sapphire,Chronograph,3.871201010907891,5000.0
190,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.7376696182833684,2.3869262414277967,3.091042453358316,Blue,Sapphire,Date,3.9889840465642745,9000.0
192,Bulgari,Octo Finissimo,Titanium,Leather,Automatic,3.4011973816621555,3.6888794541139363,1.7047480922384253,3.044522437723423,Black,Sapphire,None,4.007333185232471,10000.0
193,Tudor,Black Bay,Stainless Steel,Leather,Automatic,5.298317366548036,3.713572066704308,2.5416019934645457,3.091042453358316,Black,Sapphire,Date,4.248495242049359,3800.0
